epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1922,1.59293,3.44321,1.56846,0.28514,0.48174,0.3233,0.16075,1.17929,1.52441,1.19734,0.000207055,0.000207055,0.000207055
2,57.2382,1.43931,2.33117,1.44602,0.57628,0.4796,0.51451,0.25733,1.12892,1.08203,1.26476,0.000407164,0.000407164,0.000407164
3,83.8926,1.4437,2.02867,1.44128,0.675,0.54562,0.6598,0.34232,1.13456,0.92525,1.18398,0.000599022,0.000599022,0.000599022
4,110.059,1.42952,1.79715,1.43408,0.55424,0.51315,0.57822,0.28574,1.16366,1.04049,1.23506,0.000587875,0.000587875,0.000587875
5,136.205,1.39652,1.61909,1.40641,0.67037,0.66519,0.7237,0.37213,1.05544,0.84408,1.16702,0.0005755,0.0005755,0.0005755
6,162.375,1.35178,1.41265,1.35945,0.73197,0.69831,0.77648,0.4192,1.07828,0.81835,1.15025,0.000563125,0.000563125,0.000563125
7,188.508,1.36469,1.40458,1.38791,0.78396,0.69982,0.79387,0.41675,1.01817,0.7531,1.14388,0.00055075,0.00055075,0.00055075
8,214.651,1.33914,1.34247,1.37957,0.5992,0.49187,0.55107,0.27415,1.18835,1.06016,1.23777,0.000538375,0.000538375,0.000538375
9,240.709,1.30434,1.26847,1.3518,0.71147,0.77717,0.83086,0.44991,1.03123,0.73456,1.14434,0.000526,0.000526,0.000526
10,266.796,1.29959,1.22393,1.33775,0.79315,0.79162,0.86057,0.46999,0.9965,0.69772,1.12435,0.000513625,0.000513625,0.000513625
11,292.758,1.30184,1.16411,1.3334,0.79478,0.74963,0.85305,0.4699,1.07943,0.70529,1.1432,0.00050125,0.00050125,0.00050125
12,319.38,1.28001,1.12862,1.32746,0.79974,0.80113,0.86343,0.46802,1.06492,0.65938,1.14043,0.000488875,0.000488875,0.000488875
13,346.063,1.27446,1.10942,1.3343,0.75209,0.85116,0.85642,0.46967,1.03108,0.63661,1.14018,0.0004765,0.0004765,0.0004765
14,373.35,1.24465,1.05573,1.30527,0.80812,0.81216,0.84524,0.47005,1.02359,0.6402,1.12582,0.000464125,0.000464125,0.000464125
15,400.571,1.24595,1.0406,1.31101,0.79268,0.82822,0.86066,0.48454,1.00686,0.61513,1.13389,0.00045175,0.00045175,0.00045175
16,428.243,1.24427,1.01224,1.3056,0.801,0.78484,0.84328,0.47512,0.99193,0.64177,1.13062,0.000439375,0.000439375,0.000439375
17,455.552,1.22451,0.99108,1.29035,0.73749,0.78199,0.81875,0.45789,0.99772,0.66089,1.13721,0.000427,0.000427,0.000427
18,482.837,1.21343,0.95929,1.28159,0.78052,0.77278,0.85701,0.48222,0.9681,0.65392,1.12247,0.000414625,0.000414625,0.000414625
19,510.149,1.21621,0.99178,1.29023,0.79996,0.78652,0.86289,0.47633,0.98991,0.60957,1.12669,0.00040225,0.00040225,0.00040225
20,537.661,1.21969,0.96407,1.29472,0.79421,0.75664,0.83747,0.47568,1.01831,0.62836,1.13329,0.000389875,0.000389875,0.000389875
21,565.183,1.18065,0.94064,1.2619,0.84983,0.79975,0.8974,0.51708,0.95837,0.55025,1.10927,0.0003775,0.0003775,0.0003775
22,592.875,1.17166,0.91622,1.25793,0.84587,0.80996,0.87984,0.49767,1.00338,0.57431,1.13327,0.000365125,0.000365125,0.000365125
23,620.201,1.17584,0.93062,1.27259,0.87117,0.76429,0.8629,0.4758,1.05123,0.6185,1.13438,0.00035275,0.00035275,0.00035275
24,647.652,1.17783,0.90471,1.26899,0.81486,0.8539,0.8842,0.504,1.00137,0.54687,1.12541,0.000340375,0.000340375,0.000340375
25,675.147,1.16682,0.87565,1.26935,0.85018,0.80871,0.88838,0.49522,1.01889,0.57834,1.12676,0.000328,0.000328,0.000328
26,702.435,1.14178,0.85779,1.24619,0.83544,0.81852,0.87819,0.51124,0.96745,0.56433,1.11319,0.000315625,0.000315625,0.000315625
27,729.937,1.14742,0.85989,1.24455,0.8659,0.86681,0.89537,0.49445,1.00306,0.55082,1.13679,0.00030325,0.00030325,0.00030325
