epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9561,1.59159,3.47542,1.57307,0.3347,0.40641,0.31812,0.1652,1.15329,1.39844,1.1899,0.000207055,0.000207055,0.000207055
2,54.7217,1.44311,2.3446,1.45011,0.35408,0.27591,0.21398,0.1067,1.17021,1.46396,1.38546,0.000407164,0.000407164,0.000407164
3,79.5257,1.43869,2.04779,1.43997,0.5905,0.56356,0.61127,0.28935,1.15065,1.08225,1.22889,0.000599022,0.000599022,0.000599022
4,104.193,1.42947,1.79959,1.43063,0.70015,0.61907,0.70525,0.36543,1.11856,0.90702,1.17256,0.000587875,0.000587875,0.000587875
5,128.716,1.40603,1.60846,1.41107,0.54853,0.57438,0.61328,0.30484,1.07934,0.97059,1.22797,0.0005755,0.0005755,0.0005755
6,153.025,1.35723,1.43041,1.3637,0.81912,0.6739,0.75302,0.39137,1.12066,0.83416,1.17287,0.000563125,0.000563125,0.000563125
7,177.895,1.36435,1.38749,1.38016,0.73614,0.70468,0.76995,0.38708,1.06703,0.80806,1.16671,0.00055075,0.00055075,0.00055075
8,202.803,1.34063,1.31925,1.37563,0.72617,0.71028,0.7647,0.43603,1.05083,0.75478,1.14884,0.000538375,0.000538375,0.000538375
9,227.681,1.30325,1.24953,1.34802,0.75891,0.69016,0.77947,0.41088,1.04573,0.73369,1.15628,0.000526,0.000526,0.000526
10,253.254,1.30377,1.21496,1.33851,0.74427,0.67773,0.72692,0.3939,1.08233,0.82815,1.20965,0.000513625,0.000513625,0.000513625
11,278.034,1.29845,1.16145,1.33191,0.75698,0.82869,0.86791,0.47888,1.05121,0.65027,1.13506,0.00050125,0.00050125,0.00050125
12,302.451,1.28513,1.13404,1.32788,0.79086,0.76753,0.8299,0.46743,0.99342,0.64924,1.11675,0.000488875,0.000488875,0.000488875
13,326.997,1.27003,1.10563,1.3296,0.83357,0.8134,0.87238,0.49054,1.01086,0.63059,1.12247,0.0004765,0.0004765,0.0004765
14,351.865,1.24562,1.04319,1.29898,0.79724,0.79373,0.85423,0.46922,0.98818,0.64053,1.11815,0.000464125,0.000464125,0.000464125
15,377.481,1.24674,1.02466,1.3056,0.8645,0.76333,0.85714,0.48558,1.00273,0.63212,1.13166,0.00045175,0.00045175,0.00045175
16,403.445,1.24294,1.0208,1.29449,0.77575,0.77567,0.82517,0.45214,1.00441,0.64648,1.13559,0.000439375,0.000439375,0.000439375
17,428.986,1.2223,0.99555,1.28243,0.80608,0.83594,0.89534,0.50845,0.99405,0.60368,1.11993,0.000427,0.000427,0.000427
18,454.052,1.20087,0.95962,1.27194,0.84791,0.82735,0.88861,0.49903,0.98039,0.57351,1.11991,0.000414625,0.000414625,0.000414625
19,479.524,1.21428,0.97609,1.28071,0.8384,0.81001,0.85919,0.47656,0.98466,0.57967,1.11859,0.00040225,0.00040225,0.00040225
20,504.986,1.22024,0.97651,1.29012,0.80374,0.80967,0.84526,0.48374,1.00198,0.592,1.12456,0.000389875,0.000389875,0.000389875
21,530.304,1.17368,0.92788,1.2514,0.83782,0.83045,0.88634,0.5029,0.99394,0.56301,1.12401,0.0003775,0.0003775,0.0003775
22,555.592,1.18722,0.9227,1.26005,0.84749,0.82882,0.87946,0.49736,1.01973,0.56381,1.1254,0.000365125,0.000365125,0.000365125
23,581.246,1.16193,0.91113,1.26031,0.85739,0.84635,0.87636,0.49952,1.02329,0.59455,1.12872,0.00035275,0.00035275,0.00035275
24,606.723,1.18019,0.90431,1.26425,0.89687,0.83717,0.89744,0.52012,1.01415,0.54334,1.11531,0.000340375,0.000340375,0.000340375
